set,threshold,precision,recall,dice
train,0.98,0.6844563758389262,0.724736827144468,0.7040209122413008
validation,0.98,0.7311595564743469,0.7111456381666134,0.7210137373456575
test,0.98,0.6660218929968788,0.6976422913980476,0.6814654881586938
